t,norm_ref,norm_tdvp,norm_bug,err_state_tdvp,err_state_bug,err_state_normed_tdvp,err_state_normed_bug,max_abs_err_z_tdvp,max_abs_err_z_bug,max_bond_dim_tdvp,max_bond_dim_bug,z_ref_1,z_ref_2,z_ref_3,z_ref_4,z_ref_5,z_ref_6,z_ref_7,z_ref_8,z_ref_9,z_ref_10,z_tdvp_1,z_tdvp_2,z_tdvp_3,z_tdvp_4,z_tdvp_5,z_tdvp_6,z_tdvp_7,z_tdvp_8,z_tdvp_9,z_tdvp_10,z_bug_1,z_bug_2,z_bug_3,z_bug_4,z_bug_5,z_bug_6,z_bug_7,z_bug_8,z_bug_9,z_bug_10
0.5000000000,6.3084711552747474e-01,6.3083286309630926e-01,6.0971259365304253e-01,7.9960282966482020e-04,7.3453229239546847e-01,1.2673194672790688e-03,1.1838765151345767e+00,5.5269359656717754e-05,8.4685036777774614e-02,14,2,6.9910302035288779e-02,7.7166192491341587e-02,8.1294661248182465e-02,8.3630242082517292e-02,8.4685036777774558e-02,8.4685036777774614e-02,8.3630242082517167e-02,8.1294661248182493e-02,7.7166192491341615e-02,6.9910302035289168e-02,6.9895516932715576e-02,7.7147365463773071e-02,8.1280590583977047e-02,8.3611426800129174e-02,8.4659227578090385e-02,8.4653771830479230e-02,8.3594890338505673e-02,8.1253336749038008e-02,7.7115470662151270e-02,6.9855032675632450e-02,2.0214298391347584e-17,1.2066414344922038e-01,0.0000000000000000e+00,-1.1102230246251565e-16,0.0000000000000000e+00,0.0000000000000000e+00,-2.2204460492503131e-16,0.0000000000000000e+00,0.0000000000000000e+00,2.0274194260031134e-02
0.5500000000,6.0655257761564607e-01,6.0653694064646557e-01,5.8064681383981898e-01,7.7042216548559288e-04,7.3433648164433385e-01,1.2699202305580255e-03,1.2366148047768679e+00,5.4929382747551103e-05,8.9524453887598887e-02,15,2,7.5816346966376458e-02,8.2338328634154703e-02,8.6197401363661275e-02,8.8473243931305526e-02,8.9524453887598804e-02,8.9524453887598887e-02,8.8473243931305290e-02,8.6197401363661302e-02,8.2338328634154731e-02,7.5816346966376846e-02,7.5802517534860947e-02,8.2323280009400257e-02,8.6188657276218078e-02,8.8460824867019311e-02,8.9505669744156177e-02,8.9500347853517959e-02,8.8444531552759859e-02,8.6161158469179433e-02,8.2290792506385518e-02,7.5761417583629295e-02,1.5650617991102169e-17,5.9944980739902176e-03,0.0000000000000000e+00,1.1102230246251565e-16,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-4.4408920985006262e-16,2.0555947762576094e-02
0.6000000000,5.8405530886363466e-01,5.8403870123182855e-01,5.5303918221820836e-01,7.4304917414376188e-04,7.2830543648518054e-01,1.2719242611186660e-03,1.2803079178200178e+00,5.3551141615398867e-05,3.4053405973373396e-01,16,2,8.1066280050986150e-02,8.6138678135277633e-02,8.9367608735466786e-02,9.1412750410446234e-02,9.2388692245353982e-02,9.2388692245354065e-02,9.1412750410445984e-02,8.9367608735466897e-02,8.6138678135277896e-02,8.1066280050986456e-02,8.1054210630114212e-02,8.6128042576841757e-02,8.9364391469231974e-02,9.1406642969271770e-02,9.2376808273859495e-02,9.2371736478964878e-02,9.1390887882862426e-02,8.9336995823464549e-02,8.6095493591348354e-02,8.1012728909371057e-02,2.2030194543339618e-18,4.2667273786901161e-01,-1.1102230246251565e-16,1.1102230246251565e-16,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.3306690738754696e-16,2.0691631119626179e-02
0.6500000000,5.6315973129664298e-01,5.6314258351861635e-01,5.2681599377355381e-01,7.1725444544853295e-04,7.1817686018632620e-01,1.2732805861123912e-03,1.3168288272976509e+00,5.1341827086326397e-05,9.3264385340567163e-02,16,2,8.5438747783442293e-02,8.8432064791658396e-02,9.0734337596597381e-02,9.2417488007247944e-02,9.3264385340567163e-02,9.3264385340567163e-02,9.2417488007247556e-02,9.0734337596597547e-02,8.8432064791658632e-02,8.5438747783442570e-02,8.5429102613036628e-02,8.8426018601757028e-02,9.0736175333240326e-02,9.2416849193658918e-02,9.3258443320348230e-02,9.3253703140564123e-02,9.2401847432487624e-02,9.0709191747508924e-02,8.8393885646622233e-02,8.5387405956356244e-02,5.6638829406194748e-16,6.2281750856829299e-02,1.1102230246251565e-16,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-2.2204460492503131e-16,0.0000000000000000e+00,4.4408920985006262e-16,2.0702871469526308e-02
0.7000000000,5.4366364804364631e-01,5.4364635698384789e-01,5.0190727778717992e-01,6.9282577777538164e-04,7.0528278175052528e-01,1.2739880475303468e-03,1.3477951679445221e+00,4.8557557223230519e-05,9.2354709656665479e-02,16,2,8.8740854572089745e-02,8.9200008570928774e-02,9.0402211025660373e-02,9.1660132939981459e-02,9.2354709656665479e-02,9.2354709656665396e-02,9.1660132939981154e-02,9.0402211025660650e-02,8.9200008570929024e-02,8.8740854572089939e-02,8.8734093685987045e-02,8.9198287579870653e-02,9.0408107675403221e-02,9.1663607717823059e-02,9.2353209402392306e-02,9.2348841909430116e-02,9.1649483958678515e-02,9.0381803998905413e-02,8.9166971600333336e-02,8.8692297014866708e-02,-7.6481410421612316e-16,8.4735865682252998e-02,0.0000000000000000e+00,-1.1102230246251565e-16,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.2204460492503131e-16,2.0607843233993305e-02
0.7500000000,5.2537201918832566e-01,5.2535490996315337e-01,4.7824657768854079e-01,6.6956789543299547e-04,6.9050574633602269e-01,1.2740689295196400e-03,1.3743397620274818e+00,4.5467068229207430e-05,9.0829526393279167e-02,16,2,9.0829526393279125e-02,8.8542528348649452e-02,8.8638115821841834e-02,8.9490921524667616e-02,9.0046078749234426e-02,9.0046078749234426e-02,8.9490921524667200e-02,8.8638115821842084e-02,8.8542528348649702e-02,9.0829526393279431e-02,9.0825878739177288e-02,8.8544512393103833e-02,8.8646785797036054e-02,8.9496965275586010e-02,9.0047345166794940e-02,9.0043349825781022e-02,8.9483752676951356e-02,8.8621386205517599e-02,8.8514322182221730e-02,9.0784059325050223e-02,-4.6418961655123505e-17,5.9239652715667224e-02,0.0000000000000000e+00,-2.2204460492503131e-16,0.0000000000000000e+00,0.0000000000000000e+00,-2.2204460492503131e-16,0.0000000000000000e+00,0.0000000000000000e+00,2.0421915776504831e-02
0.8000000000,5.0811003696904100e-01,5.0809334316544752e-01,4.5577074831651188e-01,6.4732205056612917e-04,6.7430467468601951e-01,1.2735772563920462e-03,1.3969852856071951e+00,4.2319770200097140e-05,2.9113415424049954e-01,16,2,9.1626106807697005e-02,8.6663326073945599e-02,8.5832088889511479e-02,8.6381109145876045e-02,8.6842520152896563e-02,8.6842520152896494e-02,8.6381109145875754e-02,8.5832088889511715e-02,8.6663326073945723e-02,9.1626106807697158e-02,9.1625577405942987e-02,8.6668166490696308e-02,8.5842212678271093e-02,8.6388298429366739e-02,8.6845044833389673e-02,8.6841382798272873e-02,8.6375946253601815e-02,8.5817894162622699e-02,8.6639312469865559e-02,9.1583787037497061e-02,-1.1799929705583211e-16,3.7779748031444516e-01,1.1102230246251565e-16,0.0000000000000000e+00,0.0000000000000000e+00,1.1102230246251565e-16,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.0158181680851830e-02
0.8500000000,4.9173321755997412e-01,4.9171708049711715e-01,4.3441976914251473e-01,6.2597529745154622e-04,6.5680717354154661e-01,1.2725956053768069e-03,1.4156586421754587e+00,3.9319610065341459e-05,9.1122172689748468e-02,16,2,9.1122172689748399e-02,8.3842064184541876e-02,8.2440692263856447e-02,8.2848612437254943e-02,8.3282442916745025e-02,8.3282442916745025e-02,8.2848612437254707e-02,8.2440692263856780e-02,8.3842064184542112e-02,9.1122172689748565e-02,9.1124578571779719e-02,8.3848821491287182e-02,8.2451133463012832e-02,8.2855871581995366e-02,8.3285119979913516e-02,8.3281721179665771e-02,8.2844259893981961e-02,8.2428021652504485e-02,8.3821419098140351e-02,9.1082853079683224e-02,-6.4836177070046655e-17,1.4389364788602943e-01,2.2204460492503131e-16,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-2.2204460492503131e-16,1.9827885001049050e-02
0.9000000000,4.7613296438413200e-01,4.7611744745152407e-01,4.1413657208981952e-01,6.0548032580929234e-04,6.3794904660742890e-01,1.2712653222290687e-03,1.4298470004122605e+00,3.6611678619735688e-05,8.9376312762539462e-02,16,2,8.9376312762539878e-02,8.0399624452786533e-02,7.8924264095198149e-02,7.9381229910818765e-02,7.9855615101042138e-02,7.9855615101042193e-02,7.9381229910818446e-02,7.8924264095198482e-02,8.0399624452786672e-02,8.9376312762540183e-02,8.9381335130984091e-02,8.0407389312191643e-02,7.8934208419530666e-02,7.9387936180567192e-02,7.9857833626912053e-02,7.9854606566277936e-02,7.9376895286277754e-02,7.8912373958273996e-02,8.0381470687664228e-02,8.9339701083920448e-02,4.1517124258521736e-16,1.1065552217642860e-01,0.0000000000000000e+00,1.1102230246251565e-16,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.1102230246251565e-16,1.9440766203462745e-02
0.9500000000,4.6123705561562617e-01,4.6122216701315644e-01,3.9486688266577380e-01,5.8587216778568615e-04,6.1763111665518899e-01,1.2698294797973925e-03,1.4388635841156034e+00,3.4282104532351587e-05,2.0872337366263261e-01,16,2,8.6503376297214010e-02,7.6662745540380980e-02,7.5689409570198124e-02,7.6371764519209920e-02,7.6936440835545988e-02,7.6936440835545947e-02,7.6371764519209615e-02,7.5689409570198402e-02,7.6662745540381008e-02,8.6503376297214205e-02,8.6510615191757942e-02,7.6670727107528230e-02,7.5698413720072244e-02,7.6377733347241891e-02,7.6938042273476892e-02,7.6934885272405537e-02,7.6367065469154644e-02,7.5677870783315448e-02,7.6646258600759076e-02,8.6469094192681853e-02,-3.1613138542827029e-16,-1.3206062812225161e-01,-1.1102230246251565e-16,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.4408920985006262e-16,1.9005338179894447e-02
1.0000000000,4.4700547743552438e-01,4.4699119429100981e-01,3.7655907320605686e-01,5.6726650249789515e-04,5.9586167764744180e-01,1.2686549627928759e-03,1.4421681715007224e+00,3.2367462475771380e-05,4.1208546056122575e-01,16,2,8.2658975878831559e-02,7.2933347026846201e-02,7.3045374099087568e-02,7.4075029351648433e-02,7.4744132219897758e-02,7.4744132219897841e-02,7.4075029351648142e-02,7.3045374099087873e-02,7.2933347026846354e-02,8.2658975878832031e-02,8.2667996998822116e-02,7.2940924358594367e-02,7.3053336246070730e-02,7.4080410523925250e-02,7.4745275073432066e-02,7.4742087637485119e-02,7.4069911397564719e-02,7.3034044579125879e-02,7.2917826882594849e-02,8.2626608416356259e-02,4.3438242310883134e-16,-3.3915211353437957e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-2.2204460492503131e-16,-1.1102230246251565e-15,1.8529105631807537e-02
